aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Commuter Rail,Fitchburg Line,Income,Household Income,30% to 60% of Area Median Income,0.238272966,3694
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wonderland,Other Demographics,Ability to Understand English,Often,0.063003434,5776
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Race and Ethnicity,Title VI Minority,No,0.381366801,11829
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Race and Ethnicity,Race,Middle Eastern or North African,0.038380628,4405
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Silver Line BRT,All Silver Line BRT,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.057980481,12924
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Airport,Income,Household Income,Prefer not to say,0.102221314,4975
Service Mode,Commuter Rail,All Commuter Rail,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.03107317,13097
Reporting Group,Bus,Jamaica Plain/Roslindale/Hyde Park,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.0,3032
Reporting Group,Bus,104,Alternative Modes,Alternative Mode,Drive or Ride in a Carpool,0.277042051,380
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,South Station,Trip Purpose and Frequency,Frequency,Less than once per month,0.185344859,12102
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Tufts Medical Center,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.009577734,10197
Service Mode,Commuter Rail,All Commuter Rail,Access Mode,Access to First MBTA Service,Drove Alone,0.084690651,12819
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Eliot to Riverside,Fares,Fare Product,7-day Pass,0.17686213,6573
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Amory Street to Packard's Corner,Fares,Fare Product,Pay-as-you-go,0.299888866,5959
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Kendall/MIT,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.16260326,11360
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Wollaston,Other Demographics,Gender,Woman,0.564986555,12236
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Broadway,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.080296817,10639
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Summit Ave to Cleveland Circle,Other Demographics,Age,45 to 64,0.082492561,8133
Reporting Group,Bus,22,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.088264404,885
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Suffolk Downs and Orient Heights,Other Demographics,Gender,Prefer not to say,0.010484988,5900
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brookline Village to Beaconsfield,Race and Ethnicity,Title VI Minority,Yes,0.429573191,6330
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Government Center,Fares,Fare Product,Semester Pass,0.021350622,4851
Reporting Group,Bus,34 & 34E,Other Demographics,Ability to Understand English,Sometimes,0.033022669,834
Service Mode,Commuter Rail,All Commuter Rail,Fares,Fare Product,Pay-as-you-go,0.59294527,12835
Reporting Group,Bus,SL4,Race and Ethnicity,Title VI Minority,No,0.3398349,3211
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Reservoir to Newton Highlands,Other Demographics,Gender,Woman,0.584065365,7607
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Magoun Square,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.04417998,7218
Reporting Group,Bus,11,Other Demographics,Ability to Understand English,Sometimes,0.034713488,291
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Green Line,All Green Line,Other Demographics,Ability to Understand English,Sometimes,0.033277293,12476
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Davis,Other Demographics,Ability to Understand English,Sometimes,0.021986409,10995
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Summit Ave to Cleveland Circle,Income,Household Income,200% or more of Area Median Income,0.001314975,8122
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wonderland,Access Mode,Access to First MBTA Service,Walked,0.727508497,5734
Reporting Group,Bus,71,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.291657411,1936
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Broadway,Income,Household Income,140% to 200% of Area Median Income,0.065550181,10572
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Back Bay,Income,Title VI Low-Income,Yes,0.570473996,8778
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Magoun Square,Race and Ethnicity,Race,Other,0.020191647,7214
Reporting Group,Bus,Somerville/Medford/Charlestown - West,Race and Ethnicity,Race,Prefer not to say,0.021850709,3795
Reporting Group,Bus,47,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.083787925,1226
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Kendall/MIT,Other Demographics,Ability to Understand English,Prefer not to say,0.004524441,11322
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Vehicles,Cars per Capita,0,0.433949416,11843
Reporting Group,Bus,Somerville/Medford/Charlestown - East,Other Demographics,Gender,Man,0.355611395,3648
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Porter,Race and Ethnicity,Race,Asian,0.166400209,11302
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Green Street,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.044388714,8992
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Oak Grove,Vehicles,Cars per Capita,Strictly between 0.5 and 1,0.055606758,9524
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Orange Line,All Orange Line,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.015399013,12574
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Vehicles,Usable Cars,0,0.390867629,6680
Systemwide,All Modes,Systemwide,Income,Household Income,140% to 200% of Area Median Income,0.031175517,13205
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Suffolk Downs and Orient Heights,Race and Ethnicity,Title VI Minority,Yes,0.667865617,5961
Reporting Group,Bus,1,Other Demographics,Age,26 to 34,0.317334053,248
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Saint Mary's Street to Coolidge Corner,Vehicles,Cars per Capita,1 or more,0.054909218,8291
Reporting Group,Bus,67 & 77,Trip Purpose and Frequency,Frequency,5 days per week,0.339828169,1748
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Vehicles,Usable Cars,0,0.370256893,8761
Reporting Group,Bus,32,Other Demographics,Gender,Woman,0.529612408,1003
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Vehicles,Usable Cars,0,0.422184394,11847
Reporting Group,Bus,16,Income,Title VI Low-Income,Yes,0.862756949,512
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Green Line,All Green Line,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.016650694,12430
Reporting Group,Bus,47,Race and Ethnicity,Title VI Minority,No,0.370133892,1218
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Ashmont,Fares,Reduced Fares,Other Reduced or Free Fare,0.00542081,10413
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Arlington,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.006744811,5835
Reporting Group,Bus,22,Income,Household Income,140% to 200% of Area Median Income,0.005863674,750
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Oak Grove,Race and Ethnicity,Race,Other,0.055942094,9465
Reporting Group,Bus,23,Vehicles,Usable Cars,1,0.375173277,928
Reporting Group,Bus,Cambridge/Arlington - Harvard,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.018143453,2454
Reporting Group,Commuter Rail,Haverhill Line,Other Demographics,Age,65 or older,0.044289966,4352
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Braintree,Other Demographics,Age,45 to 64,0.090887995,10592
Reporting Group,Bus,111,Access Mode,Access to First MBTA Service,Drove Alone,0.001476106,136
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Alewife,Trip Purpose and Frequency,Frequency,5 days per week,0.398438926,10079
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Sullivan Square,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.062249637,10227
Reporting Group,Commuter Rail,Needham Line,Fares,Fare Product,Pay-as-you-go,0.594961058,4449
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Trip Purpose and Frequency,Frequency,5 days per week,0.297761236,7765
Reporting Group,Bus,Cambridge/Arlington - Harvard,Race and Ethnicity,Title VI Minority,Yes,0.552146415,2408
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Copley,Vehicles,Usable Cars,3 or more,0.018196711,6493
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Ashmont,Access Mode,Access to First MBTA Service,Drove Alone,0.010107791,10305
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Gilman Square and East Somerville,Race and Ethnicity,Title VI Minority,Yes,0.477823318,6785
Reporting Group,Bus,Cambridge/Arlington - Alewife,Income,Title VI Low-Income,No,0.18868963,2747
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Trip Purpose and Frequency,Frequency,5 days per week,0.390636051,11831
Reporting Group,Bus,Malden/Everett - South,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.083072269,2860
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Savin Hill,Alternative Modes,Alternative Mode,Other,0.0,11866
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Wellington,Other Demographics,Ability to Understand English,Sometimes,0.05745891,10291
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL2,Fares,Reduced Fares,Youth Pass,0.026162886,12319
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Orange Line,All Orange Line,Fares,Reduced Fares,Student (S-Card or M7),0.037877931,12643
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Suffolk Downs and Orient Heights,Race and Ethnicity,Title VI Minority,No,0.332134383,5964
Reporting Group,Commuter Rail,Needham Line,Trip Purpose and Frequency,Frequency,5 days per week,0.339072121,4706
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Income,Household Income,80% to 100% of Area Median Income,0.11183792,8698
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Summit Ave to Cleveland Circle,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.247672212,8172
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Tufts Medical Center,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.086014795,10154
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Charles/MGH,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.005450562,10708
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,State,Other Demographics,Gender,Non-Binary,0.00990801,5295
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Malden Center,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.159557895,9354
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brigham Circle to Heath Street,Income,Household Income,60% to 80% of Area Median Income,0.213853526,6139
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Silver Line BRT,All Silver Line BRT,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.007408951,13195
Reporting Group,Bus,Cambridge/Arlington - Alewife,Fares,Reduced Fares,Youth Pass,0.011546055,2705
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Trip Purpose and Frequency,Frequency,5 days per week,0.435627146,12407
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End & Jamaica Plain/Roslindale/Hyde Park,Fares,Reduced Fares,Full Fare,0.747267613,3298
Reporting Group,Bus,Malden/Everett - South,Fares,Fare Product,Semester Pass,0.002087959,2996
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Stony Brook,Other Demographics,Age,Under 18,0.063024829,9968
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End & Jamaica Plain/Roslindale/Hyde Park,Alternative Modes,Used Alternative Mode,Yes,0.137853351,3290
Reporting Group,Bus,28 & 29,Other Demographics,Gender,Woman,0.541575918,1122
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.155903595,6633
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Hynes Convention Center,Other Demographics,Gender,Non-Binary,0.019342227,7146
Reporting Group,Bus,32,Other Demographics,Gender,Non-Binary,0.015554585,1007
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Harvard,Race and Ethnicity,Race,American Indian or Alaska Native,0.02993503,10848
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Andrew,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.040476548,10101
Reporting Group,Bus,66,Fares,Reduced Fares,Transportation Access Pass (TAP),0.029298487,1622
Reporting Group,Bus,28 & 29,Access Mode,Access to First MBTA Service,Walked,0.907365639,931
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Vehicles,Usable Cars,0,0.41442171,6393
Reporting Group,Bus,9,Alternative Modes,Alternative Mode,Different MBTA Service,0.379084474,2219
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Blandford Street to BU Central,Access Mode,Access to First MBTA Service,Walked,0.963338324,6344
Reporting Group,Bus,32,Race and Ethnicity,Title VI Minority,No,0.168372216,1023
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Massachusetts Avenue,Fares,Fare Product,7-day Pass,0.168931669,9484
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Wellington,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.019930404,10380
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Washington Street to Boston College,Race and Ethnicity,Race,Prefer not to say,0.013879486,8369
Reporting Group,Bus,21,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.056066849,705
Service Mode,Bus,All Bus,Income,Household Income,100% to 140% of Area Median Income,0.039749211,12953
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Fares,Reduced Fares,Other Reduced or Free Fare,0.010255414,2022
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Fares,Reduced Fares,Student (S-Card or M7),0.008409908,6087
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brookline Village to Beaconsfield,Fares,Reduced Fares,Youth Pass,0.003192557,6292
Reporting Group,Bus,Somerville/Medford/Charlestown - East,Race and Ethnicity,Race,Other,0.050233673,3659
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Braintree,Income,Household Income,140% to 200% of Area Median Income,0.045346357,10543
Reporting Group,Bus,23,Other Demographics,Age,45 to 64,0.173047213,994
Reporting Group,Commuter Rail,Greenbush Line,Fares,Fare Product,7-day Pass,0.011038595,4232
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Vehicles,Usable Cars,3 or more,0.1434454,4430
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Access Mode,Access to First MBTA Service,Walked,0.935718436,6062
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Wellington,Fares,Fare Product,Other,0.002245365,10390
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brookline Village to Beaconsfield,Income,Household Income,Prefer not to say,0.11239398,6302
Reporting Group,Bus,10,Income,Title VI Low-Income,No,0.275222466,174
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Alternative Modes,Alternative Mode,Other,0.007737584,6533
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Silver Line BRT,All Silver Line BRT,Alternative Modes,Alternative Mode,Other,0.007251495,13065
Service Mode,Bus,All Bus,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.021539916,13000
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Eliot to Riverside,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.006251296,6619
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Chinatown,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.002758216,8719
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Government Center,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.005011308,4834
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Community College,Income,Household Income,200% or more of Area Median Income,0.042723067,8451
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Porter,Income,Household Income,Less than 30% of Area Median Income,0.108646057,11267
Reporting Group,Bus,22,Income,Household Income,80% to 100% of Area Median Income,0.057893468,748
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Race and Ethnicity,Race,Middle Eastern or North African,0.039628405,12798
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Government Center,Race and Ethnicity,Title VI Minority,No,0.412587834,7086
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Lechmere and Science Park/West End,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.12799863,7407
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Wollaston,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.113325482,12136
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Saint Mary's Street to Coolidge Corner,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.004836646,7647
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Alternative Modes,Used Alternative Mode,Yes,0.100472125,8625
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Medford/Tufts,Other Demographics,Age,18 to 25,0.47167735,7336
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Union Square,Other Demographics,Age,65 or older,0.009139824,8043
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End & Jamaica Plain/Roslindale/Hyde Park,Fares,Reduced Fares,Other Reduced or Free Fare,0.007918929,3464
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Gilman Square and East Somerville,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.03453631,6685
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Aquarium,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.063253924,4948
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Vehicles,Usable Cars,3 or more,0.070261779,7966
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Symphony,Other Demographics,Gender,Woman,0.569345781,8243
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Arlington,Fares,Fare Product,Semester Pass,0.015024898,5633
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.147564148,6388
Reporting Group,Bus,Chelsea/East Boston/Lynn/Revere - Core,Fares,Reduced Fares,Youth Pass,0.003907128,2590
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Stony Brook,Other Demographics,Ability to Understand English,Often,0.044984507,9965
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Vehicles,Usable Cars,2,0.196485083,2376
Reporting Group,Bus,Cambridge/Arlington - Alewife,Other Demographics,Gender,Man,0.399900007,2520
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Orient Heights,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.235381516,5515
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Ruggles,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.024207535,9684
Reporting Group,Commuter Rail,Providence/Stoughton Line,Vehicles,Cars per Capita,0,0.211148348,4726
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Revere Beach,Access Mode,Access to First MBTA Service,Walked,0.84107105,5573
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Hynes Convention Center,Fares,Reduced Fares,Full Fare,0.859752437,7048
Reporting Group,Commuter Rail,Kingston Line,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.036120363,4366
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Broadway,Vehicles,Cars per Capita,0,0.382043639,10646
Reporting Group,Bus,32,Fares,Fare Product,1-day Pass,0.012507079,1079
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Amory Street to Packard's Corner,Other Demographics,Ability to Understand English,Never,0.011109055,5810
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Roxbury Crossing,Other Demographics,Ability to Understand English,Sometimes,0.03054765,9631
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,South Station,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.039473304,12097
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Summit Ave to Cleveland Circle,Fares,Reduced Fares,Youth Pass,0.00193534,8114
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Income,Household Income,100% to 140% of Area Median Income,0.10793486,7989
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Haymarket,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.02673718,6866
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Haymarket,Alternative Modes,Used Alternative Mode,No,0.902428895,6879
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Downtown Crossing,Income,Household Income,60% to 80% of Area Median Income,0.184684356,10953
Reporting Group,Bus,11,Trip Purpose and Frequency,Frequency,Less than once per month,0.101610096,120
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Fares,Fare Product,Monthly Pass,0.512027657,11618
Reporting Group,Commuter Rail,Haverhill Line,Income,Household Income,200% or more of Area Median Income,0.017582973,4339
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Kendall/MIT,Fares,Fare Product,1-day Pass,0.009439921,11533
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Shawmut,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.007972958,11785
Reporting Group,Commuter Rail,Fairmount Line,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.192787998,3885
Reporting Group,Rapid Transit or Bus Rapid Transit - Mattapan Trolley,Mattapan Trolley,Vehicles,Usable Cars,1,0.396548368,8448
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Washington Street to Boston College,Race and Ethnicity,Race,Middle Eastern or North African,0.038944169,8362
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Fares,Fare Product,Pay-as-you-go,0.395836507,8631
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Assembly,Income,Household Income,30% to 60% of Area Median Income,0.325450562,8695
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Fares,Fare Product,1-day Pass,0.022289992,6602
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Central,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.000762214,10599
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Ruggles,Other Demographics,Age,26 to 34,0.27979754,9808
Reporting Group,Bus,15,Other Demographics,Gender,Other,0.005436706,658
Reporting Group,Bus,Quincy - West,Race and Ethnicity,Title VI Minority,Yes,0.652124271,3316
Service Mode,Bus,All Bus,Other Demographics,Ability to Understand English,Prefer not to say,0.002947075,12963
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Massachusetts Avenue,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.09447936,9308
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Other Demographics,Age,26 to 34,0.497549359,7678
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Kenmore,Alternative Modes,Alternative Mode,Different MBTA Service,0.447254208,6947
Reporting Group,Bus,Cambridge/Arlington - Alewife,Race and Ethnicity,Title VI Minority,No,0.40963453,2537
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Charles/MGH,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.29263632,10462
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - West,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.04803896,3450
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,North Station,Fares,Fare Product,Semester Pass,0.01434336,9234
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Haymarket,Other Demographics,Gender,Non-Binary,0.010317585,9002
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Arlington,Trip Purpose and Frequency,Frequency,5 days per week,0.247709931,5910
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Oak Grove,Alternative Modes,Used Alternative Mode,Yes,0.150017861,9428
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Forest Hills,Vehicles,Cars per Capita,1 or more,0.066124592,9149
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Roxbury Crossing,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.170720466,9670
Reporting Group,Bus,10,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.049893092,358
Reporting Group,Bus,66,Alternative Modes,Alternative Mode,Other,0.0,1607
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Red Line,All Red Line,Fares,Fare Product,Student Pass (M7),0.023960432,12695
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Quincy Center,Fares,Reduced Fares,Senior CharlieCard,0.016571091,11628
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - East,Fares,Reduced Fares,Transportation Access Pass (TAP),0.032377566,3434
Reporting Group,Bus,10,Alternative Modes,Alternative Mode,Other,0.0,151
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,JFK/UMass,Other Demographics,Gender,Other,0.00075998,11237
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Wellington,Income,Title VI Low-Income,No,0.257344519,10285
Reporting Group,Commuter Rail,Middleborough/Lakeville Line,Alternative Modes,Alternative Mode,Drive Alone,0.335401671,4521
Reporting Group,Bus,Chelsea/East Boston/Lynn/Revere - North Shore,Income,Household Income,60% to 80% of Area Median Income,0.216522803,2799
Reporting Group,Bus,61 & 70,Trip Purpose and Frequency,Frequency,5 days per week,0.454094174,1684
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL1,Vehicles,Cars per Capita,0,0.329683264,12179
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Broadway,Vehicles,Usable Cars,2,0.150663998,10652
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL2,Income,Household Income,100% to 140% of Area Median Income,0.080230922,12338
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.101368317,7799
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Race and Ethnicity,Race,American Indian or Alaska Native,0.04179892,12795
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Roxbury Crossing,Other Demographics,Age,35 to 44,0.172695833,9637
