aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Bus,Chelsea/East Boston/Lynn/Revere - Core,Fares,Fare Product,Pay-as-you-go,0.258139181,2448
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Griggs Street to Warren Street,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.158384639,6818
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Community College,Fares,Fare Product,Other,0.007303218,8558
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,North Quincy,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.103962326,11392
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Saint Mary's Street to Coolidge Corner,Fares,Fare Product,7-day Pass,0.181371219,7793
Reporting Group,Bus,Cambridge/Arlington - Alewife,Race and Ethnicity,Race,Prefer not to say,0.028148641,2535
Reporting Group,Bus,Jamaica Plain/Roslindale/Hyde Park,Fares,Fare Product,1-day Pass,0.016830983,2827
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,State,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.01427408,9750
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Hynes Convention Center,Income,Household Income,80% to 100% of Area Median Income,0.116995082,7073
Reporting Group,Bus,Jamaica Plain/Roslindale/Hyde Park,Other Demographics,Gender,Man,0.372766656,2993
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Porter,Fares,Reduced Fares,Transportation Access Pass (TAP),0.020379599,11266
Reporting Group,Commuter Rail,Lowell Line,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.055313286,4206
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Alewife,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.144349192,10087
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Hynes Convention Center,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.012533132,7195
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Kendall/MIT,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.229732666,11348
Reporting Group,Commuter Rail,Kingston Line,Race and Ethnicity,Race,Prefer not to say,0.0,4360
Reporting Group,Commuter Rail,Needham Line,Income,Household Income,200% or more of Area Median Income,0.038174856,4641
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Fares,Reduced Fares,Blind Access CharlieCard,0.001304402,2021
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Community College,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.299234396,8487
Reporting Group,Bus,1,Fares,Fare Product,Pay-as-you-go,0.311926555,219
Reporting Group,Commuter Rail,Providence/Stoughton Line,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.473372573,4677
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Blue Line,All Blue Line,Race and Ethnicity,Title VI Minority,No,0.381793645,12405
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Haymarket,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.017831579,6877
