X,Y,FID,Brf_Status,FID_,Field1,Stop_ID,Stop_Name,Longitude,Latitude,Municip,PATI_Prgrm,Brf_Stat_1,Routes,Bus_Ctgry,Trash17,BikeRks17,Trees17,Hydrants17,UtPoles17,LtPoles17,NewsBxs17,MailBxs17,Planters17,BlkdPath17,SeatNum17,SeatType17,SeatCond17,Stop_ID_1,Program,PATI_Prior
-7887616.54761878,5236594.44382121,4520,Other,3986,3185,4839,Pleasant St @ Spring St,-70.855665,42.502786,Marblehead, , ,"441, 442",Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,4839,Unprogrammed,Medium
-7902934.66614938,5231842.19793417,234,In progress,4686,4270,6738,Garfield Ave @ Sherman St,-70.99327,42.471305,Lynn,PATI Future,In progress,429,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,6738,PATI Phase 2,Medium
-7919165.15922653,5234256.44031276,6190,Other,6257,6440,49831,Salem St @ Hilltop Terr,-71.139071,42.4873,Woburn, , ,354,Commuter Bus,0,0,0,0,0,0,0,0,0, ,0, , ,49831,Unprogrammed,Medium
-7918201.46639473,5204914.23784362,2143,Other,438,1237,1871,Walter St @ Mendum St,-71.130414,42.292623,Boston, , ,51,Local Bus,0,0,0,1,0,0,0,0,0,No,0, , ,1871,Unprogrammed,Medium
-7925176.0777709,5211777.22177567,1563,In progress,5136,5129,8525,Centre St @ Ward St,-71.193068,42.338211,Newton,PATI Future,In progress,52,Local Bus,0,0,1,0,1,0,0,0,0,No,0, , ,8525,Unprogrammed,High
-7920980.00088493,5226563.65462143,6048,Other,4994,4988,8268,Cambridge St @ Arlington St,-71.155374,42.436319,Winchester, , ,350,Local Bus,0,0,0,0,0,0,0,0,0,No,0, , ,8268,Unprogrammed,Elimination Planned
-7921581.01481573,5238365.92059737,6178,Other,5812,5411,9142,Main St opp Mountain St,-71.160773,42.514517,Woburn, , ,134,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,9142,Unprogrammed,Medium
-7907958.06949092,5219829.36589757,3948,Other,3275,3673,5607,Third St @ Chestnut St,-71.038396,42.391656,Chelsea, , ,"111, 112, 114",Key Bus,3,0,0,0,0,0,0,0,0,No,1, , ,5607,Unprogrammed,Medium
-7915591.58093308,5216807.18204873,3801,Other,628,1427,2220,Broadway @ Crawford St,-71.106969,42.371602,Cambridge, , ,68,Local Bus,0,0,2,0,0,0,0,0,0,No,0, , ,2220,Unprogrammed,Low
-7897495.15055126,5196186.87530639,6788,Other,2463,2462,3701,North St opp Saning Rd,-70.944406,42.234603,Weymouth, , ,222,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3701,Unprogrammed,Medium
