Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
August,2023,Saturday,176089.0,44573.0,153600.0,36621.0,,81156.0,195449.0,82837.0,1680.0,73341.0,,77536.0,22489.0,1913.0,
August,2023,Sunday,129224.0,36006.0,110082.0,29228.0,,63486.0,154896.0,64686.0,1200.0,56557.0,,62334.0,19142.0,1658.0,
August,2023,Total,243318.0,48872.0,215036.0,77312.0,6324.0,85251.0,246015.0,87679.0,2427.0,91089.0,,106054.0,28282.0,3130.0,
August,2023,Weekday,274853.0,51857.0,243974.0,92751.0,6633.0,89749.0,270656.0,92519.0,2770.0,100181.0,,118618.0,30879.0,3597.0,
August,2024,Saturday,187881.0,34753.0,165650.0,41116.0,5604.0,79342.0,160962.0,80891.0,1549.0,54340.0,,71870.0,22231.0,1928.0,
August,2024,Sunday,132642.0,28072.0,113728.0,28392.0,4088.0,61302.0,120338.0,62408.0,1105.0,37570.0,,54696.0,18914.0,1727.0,
August,2024,Total,254798.0,39420.0,226725.0,84971.0,5975.0,88092.0,222588.0,90396.0,2304.0,87822.0,,95345.0,28073.0,3144.0,
August,2024,Weekday,292216.0,42544.0,261150.0,105225.0,6403.0,94951.0,255185.0,97645.0,2693.0,104569.0,,108071.0,31066.0,3677.0,
December,2018,Saturday,193297.0,38215.0,168127.0,17157.0,,106806.0,242999.0,106806.0,,96521.0,,108264.0,19504.0,3167.0,5666.0
December,2018,Sunday,133261.0,27817.0,115012.0,12964.0,,76108.0,173768.0,76108.0,,68202.0,,77749.0,18248.0,2831.0,
December,2018,Total,281708.0,49487.0,245297.0,80743.0,2892.0,135191.0,367930.0,135191.0,,143780.0,2306.0,174663.0,27358.0,4861.0,6746.0
December,2018,Weekday,354279.0,59524.0,309426.0,121286.0,4484.0,162424.0,462161.0,162424.0,,180074.0,2846.0,222563.0,32967.0,5750.0,9040.0
December,2019,Saturday,194960.0,38680.0,171430.0,17245.0,,92466.0,196944.0,92466.0,,88244.0,,70020.0,19229.0,2968.0,4301.0
